#N	i	wi	ki	wi	ki	wi	ki
1	1	1	-0.68217989	1	-0.75582975	1	-0.83524216
2	1	0.34300999	-0.15792272	0.40384143	-0.24617443	0.50911474	-3.3725561
2	2	0.65699001	-3.1679746	0.59615857	-3.3297877	0.49088526	-0.38251978
3	1	0.1859979	-0.095713358	0.34006919	-11.23966	0.24421283	-11.163017
3	2	0.40533192	-0.652825	0.21943906	-0.15819081	0.46320037	-1.1248095
3	3	0.40867019	-11.592934	0.44049175	-0.84326549	0.29258681	-0.27847203
4	1	0.31122414	-2.2180093	0.35298039	-0.4710903	0.27310714	-3.03798
4	2	0.2565087	-36.863199	0.31157189	-2.4690214	0.18404135	-0.22827434
4	3	0.30726851	-0.36124237	0.13342557	-0.12209044	0.12861409	-31.256561
4	4	0.12499865	-0.074975046	0.20202215	-32.456128	0.41423743	-0.69313263
5	1	0.093574451	-0.06427667	0.20257441	-6.3179232	0.35260476	-0.50697951
5	2	0.24471975	-0.25665163	0.089423972	-0.10326207	0.29637607	-1.6236121
5	3	0.17295336	-88.646115	0.2972977	-1.2419097	0.075763701	-71.469532
5	4	0.27257923	-1.0881881	0.12886655	-76.538197	0.15676969	-7.2473023
5	5	0.2161732	-6.173362	0.28183737	-0.33265535	0.11848579	-0.19699698
6	1	0.23823524	-0.69280547	0.27227173	-0.79837121	0.051427187	-123.7188
6	2	0.13054795	-149.43602	0.092344536	-133.17982	0.096097929	-14.533119
6	3	0.073727134	-0.057211518	0.13348081	-13.398616	0.28861537	-0.40030698
6	4	0.14987383	-13.535788	0.063988018	-0.091515364	0.18718224	-3.407967
6	5	0.20640944	-2.6744728	0.21157412	-2.8465438	0.30028427	-1.0602628
6	6	0.20120641	-0.20216443	0.22634078	-0.26124634	0.076393007	-0.17459047
7	1	0.1932578	-1.568357	0.073057075	-187.53145	0.23065099	-0.33322331
7	2	0.20935733	-0.50501809	0.21029315	-1.6954277	0.28842585	-0.77487496
7	3	0.10753566	-24.390889	0.24426935	-0.58416768	0.12053075	-6.3541841
7	4	0.15211447	-5.5249558	0.048088112	-0.083392031	0.039157277	-174.77276
7	5	0.060078144	-0.052075471	0.092051388	-23.842881	0.063386122	-24.868901
7	6	0.17027241	-0.16910348	0.14752967	-5.6618564	0.20773021	-2.0499269
7	7	0.10738418	-205.39184	0.18471126	-0.21851563	0.050118799	-0.15822576
8	1	0.080500211	-38.094955	0.15447051	-3.2167673	0.032094761	-221.25717
8	2	0.093307783	-254.89688	0.15374137	-0.19035116	0.034174346	-0.14633337
8	3	0.18607206	-0.3993655	0.10528211	-9.9521234	0.044484683	-37.812382
8	4	0.050136841	-0.048119407	0.066760337	-37.108661	0.13987221	-3.6539155
8	5	0.14755261	-0.14693675	0.20267457	-1.1727886	0.21782198	-1.420116
8	6	0.17905399	-1.0765242	0.21791446	-0.46309785	0.1834734	-0.28919835
8	7	0.11361701	-9.912348	0.037472073	-0.077349018	0.26686626	-0.61223392
8	8	0.14975949	-3.0878316	0.061684573	-236.28861	0.08121236	-10.696453
9	1	0.062743525	-53.695935	0.050711998	-52.322127	0.024299499	-0.13746512
9	2	0.083994234	-298.56149	0.19485515	-0.38676106	0.15360093	-2.4432445
9	3	0.16751521	-0.33267484	0.029970479	-0.072598103	0.032895065	-52.63789
9	4	0.11588231	-5.423504	0.077722264	-15.785711	0.057335956	-16.507952
9	5	0.087051466	-15.891657	0.13029009	-0.17032929	0.24152769	-0.51069896
9	6	0.042572593	-0.044942143	0.19204012	-0.88904638	0.096427737	-6.0258497
9	7	0.14455516	-2.0338239	0.15608186	-2.1387113	0.21928226	-1.0769743
9	8	0.13018089	-0.13093292	0.054339719	-279.58453	0.02760612	-263.04335
9	9	0.16550461	-0.81232191	0.11398832	-5.5271786	0.14702474	-0.25879347
10	1	0.090950762	-8.6757633	0.049252469	-318.09638	0.024540036	-300.552
